RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,2,50095,Austin Smotherman,1.182,20.091,17
2,3,50525,Collin Morikawa,1.066,19.181,18
3,13,36689,Brooks Koepka,0.998,12.980,13
4,4,37275,Sam Ryder,0.934,6.538,7
5,-3,37455,Si Woo Kim,0.900,26.095,29
6,5,40026,Daniel Berger,0.849,23.770,28
7,-3,65256,David Ford,0.832,10.813,13
8,-1,59018,Ryan Gerard,0.821,22.168,27
9,13,56630,Akshay Bhatia,0.792,17.427,22
10,7,24502,Adam Scott,0.789,16.559,21
11,-2,22405,Justin Rose,0.755,12.076,16
12,-6,28237,Rory McIlroy,0.748,10.476,14
13,-3,37338,Zecheng Dou,0.723,13.738,19
14,1,49960,Sepp Straka,0.718,15.068,21
15,5,40098,Matt Fitzpatrick,0.687,15.109,22
16,-3,46717,Viktor Hovland,0.648,12.960,20
17,4,48117,Kurt Kitayama,0.642,14.768,23
18,0,52453,Nicolai Højgaard,0.593,11.272,19
19,-7,33968,Thorbjørn Olesen,0.582,5.241,9
20,4,32839,Hideki Matsuyama,0.559,15.090,27
21,38,48081,Xander Schauffele,0.542,11.379,21
22,18,51287,Ryo Hisatsune,0.515,13.905,27
23,18,52955,Ludvig Åberg,0.508,8.637,17
24,4,54788,Chandler Blanchet,0.505,4.037,8
25,33,57366,Cameron Young,0.499,11.474,23
26,26,39997,Corey Conners,0.498,10.951,22
27,-4,33204,Shane Lowry,0.493,7.890,16
28,-1,59095,Chris Gotterup,0.486,12.151,25
29,-4,52686,Rasmus Højgaard,0.480,7.194,15
30,17,60386,Sudarshan Yellamaraju,0.475,9.503,20
31,-17,60004,Jacob Bridgeman,0.469,12.200,26
32,12,51634,Sahith Theegala,0.444,12.876,29
33,5,34076,Joel Dahmen,0.436,6.542,15
34,-15,63454,Johnny Keefer,0.428,7.272,17
35,-5,32757,Patton Kizzire,0.423,6.344,15
36,-3,57362,Austin Eckroat,0.421,5.047,12
37,-6,59143,Mac Meissner,0.416,7.080,17
38,11,51766,Wyndham Clark,0.413,8.681,21
39,-3,58168,Davis Thompson,0.412,5.761,14
40,6,34098,Russell Henley,0.411,8.210,20
41,-7,59836,Pierceson Coody,0.393,9.815,25
42,-16,35296,Haotong Li,0.390,7.404,19
43,21,30926,Chris Kirk,0.384,7.289,19
44,-2,49228,Keita Nakajima,0.382,4.206,11
45,-2,36326,David Lipsky,0.358,2.509,7
46,-17,34256,Andrew Putnam,0.356,4.625,13
47,-2,57586,Jesper Svensson,0.343,1.372,4
48,15,61522,Michael Brennan,0.317,5.068,16
49,-10,32102,Rickie Fowler,0.313,6.896,22
50,-2,51950,Max McGreevy,0.310,7.760,25
51,-16,39546,Keith Mitchell,0.294,8.540,29
52,18,39977,Max Homa,0.291,5.536,19
53,-3,40115,Adam Svensson,0.286,2.284,8
54,43,30911,Tommy Fleetwood,0.283,4.521,16
55,5,46340,Alex Smalley,0.280,6.440,23
55,33,34046,Jordan Spieth,0.280,6.151,22
57,-6,25493,Nick Taylor,0.279,7.241,26
58,41,39324,J.J. Spaun,0.246,4.178,17
59,-4,48001,Zach Bauchou,0.243,5.098,21
60,1,34021,Bud Cauley,0.237,5.459,23
61,12,55893,Sam Stevens,0.226,6.093,27
62,-8,36699,Patrick Rodgers,0.225,6.526,29
63,2,27770,Camilo Villegas,0.203,0.811,4
64,-11,46442,Maverick McNealy,0.202,5.051,25
65,2,57259,Dan Brown,0.189,2.648,14
66,3,52689,Rasmus Neergaard-Petersen,0.185,2.030,11
67,-35,47420,Jake Knapp,0.161,3.371,21
68,3,28723,John Parry,0.144,2.444,17
69,-32,46464,Jordan Smith,0.143,2.427,17
70,5,66743,Luke Clanton,0.130,0.652,5
71,-3,27349,Alex Noren,0.127,2.291,18
72,-16,45522,Christiaan Bezuidenhout,0.103,1.334,13
73,-16,46414,Aaron Rai,0.100,1.793,18
74,3,35506,Mackenzie Hughes,0.098,1.756,18
75,5,29936,Ryan Fox,0.094,1.507,16
76,2,37378,Min Woo Lee,0.089,1.956,22
77,4,47393,Jeffrey Kang,0.083,0.666,8
78,10,46046,Scottie Scheffler,0.080,1.756,22
79,7,51349,Nico Echavarria,0.069,1.589,23
80,-18,35450,Patrick Cantlay,0.054,0.915,17
81,6,60019,Jackson Suber,0.041,0.328,8
82,2,47591,Eric Cole,0.035,0.594,17
83,20,63121,William Mouw,0.031,0.491,16
84,-9,35532,Tom Hoge,0.030,0.639,21
85,-19,40250,Taylor Pendrith,0.029,0.638,22
85,6,54783,Dylan Wu,0.029,0.319,11
87,5,55182,Tom Kim,0.024,0.505,21
88,5,59866,Nick Dunlap,0.008,0.053,7
89,6,50497,Adrien Dumont de Chassart,-0.011,-0.141,13
90,32,60067,Joe Highsmith,-0.033,-0.729,22
91,10,59440,Ricky Castillo,-0.047,-0.792,17
92,2,51696,Rico Hoey,-0.083,-1.998,24
93,16,47983,Chad Ramey,-0.099,-2.080,21
94,-15,50286,A.J. Ewart,-0.107,-1.823,17
95,7,37076,Marcelo Rozo,-0.114,-1.139,10
96,-13,51977,Max Greyserman,-0.122,-2.314,19
97,10,57364,Michael Thorbjornsen,-0.131,-2.879,22
98,7,47504,Sam Burns,-0.138,-2.209,16
99,-27,25900,Lucas Glover,-0.143,-1.717,12
100,-2,29725,Tony Finau,-0.146,-2.916,20
100,4,59141,Matt McCarty,-0.146,-3.662,25
102,4,29420,Billy Horschel,-0.170,-3.573,21
103,16,47993,Denny McCarthy,-0.190,-3.981,21
104,-22,39975,Michael Kim,-0.198,-4.148,21
104,13,52666,Sami Valimaki,-0.198,-3.568,18
106,6,29535,Brice Garnett,-0.212,-2.119,10
107,4,28252,Seamus Power,-0.215,-3.648,17
108,13,27644,Brian Harman,-0.223,-5.122,23
109,23,39335,Kevin Roy,-0.224,-4.039,18
110,6,51997,Andrew Novak,-0.230,-4.593,20
111,2,57975,Harry Hall,-0.237,-4.734,20
112,-22,54628,Lee Hodges,-0.240,-3.356,14
113,1,55573,John VanDerLaan,-0.254,-3.045,12
114,1,54591,Ben Griffin,-0.266,-5.852,22
115,5,35461,Beau Hossler,-0.313,-2.502,8
116,-8,57123,Steven Fisk,-0.324,-5.191,16
117,-32,31646,Emiliano Grillo,-0.326,-5.866,18
118,5,49766,Hank Lebioda,-0.338,-4.059,12
119,5,52513,Carson Young,-0.339,-2.032,6
120,5,27214,Kevin Streelman,-0.351,-2.104,6
121,-25,34099,Harris English,-0.355,-8.155,23
122,-22,36799,Stephan Jaeger,-0.361,-6.502,18
123,3,54607,Danny Walker,-0.388,-6.207,16
124,4,32070,Rafael Campos,-0.399,-3.590,9
125,4,34587,Chan Kim,-0.405,-2.024,5
126,12,36801,Mark Hubbard,-0.422,-6.753,16
127,-9,28089,Jason Day,-0.454,-7.710,17
128,7,49120,Kensei Hirata,-0.484,-6.781,14
129,-2,49771,J.T. Poston,-0.491,-8.830,18
130,6,63807,Neal Shipley,-0.514,-5.142,10
131,2,33141,Keegan Bradley,-0.531,-9.029,17
132,16,52215,Robert MacIntyre,-0.547,-12.032,22
133,6,34371,Adrien Saddier,-0.569,-7.395,13
134,6,52375,Doug Ghim,-0.585,-5.850,10
135,20,49947,Taylor Moore,-0.595,-10.123,17
136,5,56781,Isaiah Salinda,-0.605,-4.839,8
137,-6,45242,Kevin Yu,-0.618,-7.420,12
138,-1,47347,Adam Schenk,-0.619,-11.150,18
139,24,46443,Brian Campbell,-0.678,-11.534,17
140,3,12716,Charley Hoffman,-0.687,-4.119,6
141,11,48153,Matthieu Pavon,-0.712,-12.107,17
142,5,63343,Aldrich Potgieter,-0.718,-11.488,16
143,-9,47995,Davis Riley,-0.723,-9.399,13
144,0,31323,Gary Woodland,-0.782,-10.166,13
145,-3,54304,Karl Vilips,-0.784,-8.626,11
146,8,55851,Pontus Nyholm,-0.811,-8.106,10
147,11,59006,Davis Chatfield,-0.843,-7.590,9
148,12,48887,Matt Wallace,-0.898,-5.390,6
149,10,47917,Takumi Kanaya,-0.907,-16.332,18
150,-4,49855,Kristoffer Reitan,-0.910,-15.464,17
151,15,48867,Matti Schmid,-0.923,-22.160,24
152,4,45157,Cam Davis,-0.928,-12.996,14
152,1,27064,Jhonattan Vegas,-0.928,-14.841,16
154,8,49590,Frankie Capan III,-0.940,-3.758,4
154,16,51894,Vince Whaley,-0.940,-11.282,12
156,-6,51003,Marco Penge,-0.947,-12.305,13
157,7,54422,Christo Lamprecht,-0.973,-9.731,10
158,7,54576,Patrick Fishburn,-0.983,-5.896,6
159,-2,50188,S.H. Kim,-1.005,-17.082,17
160,1,54421,Garrick Higgo,-1.016,-15.247,15
161,6,35658,Kris Ventura,-1.037,-6.223,6
162,6,36529,S.T. Lee,-1.095,-8.756,8
163,-14,57900,Chandler Phillips,-1.111,-18.880,17
164,8,40162,Justin Lower,-1.300,-7.800,6
165,8,59567,Emilio Gonzalez,-1.375,-12.371,9
166,8,34466,Peter Malnati,-1.414,-11.309,8
167,2,40006,Erik van Rooyen,-1.463,-14.630,10
168,7,66417,Blades Brown,-1.533,-6.130,4
169,7,51600,Jimmy Stanger,-1.547,-7.735,5
170,7,64442,Gordon Sargent,-1.706,-10.235,6
171,7,38991,Alejandro Tosti,-1.745,-13.962,8
