RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,30911,Tommy Fleetwood,0.893,14.294,16
2,2,35461,Beau Hossler,0.665,5.323,8
3,4,46046,Scottie Scheffler,0.618,13.596,22
4,2,49590,Frankie Capan III,0.589,2.354,4
5,0,32839,Hideki Matsuyama,0.558,15.071,27
6,6,34587,Chan Kim,0.524,2.618,5
7,13,25493,Nick Taylor,0.518,13.465,26
8,17,27349,Alex Noren,0.512,9.223,18
9,23,34256,Andrew Putnam,0.497,6.466,13
10,19,28089,Jason Day,0.482,8.202,17
11,0,54591,Ben Griffin,0.466,10.255,22
12,2,59006,Davis Chatfield,0.461,4.148,9
13,6,32757,Patton Kizzire,0.456,6.837,15
14,-5,57975,Harry Hall,0.441,8.823,20
15,-5,33141,Keegan Bradley,0.414,7.042,17
16,6,40162,Justin Lower,0.392,2.351,6
17,4,28237,Rory McIlroy,0.386,5.398,14
18,5,59567,Emilio Gonzalez,0.385,3.469,9
18,5,27770,Camilo Villegas,0.385,1.540,4
20,-2,51634,Sahith Theegala,0.376,10.899,29
21,-13,49947,Taylor Moore,0.370,6.284,17
22,8,27214,Kevin Streelman,0.365,2.189,6
23,8,36529,S.T. Lee,0.348,2.786,8
24,2,45522,Christiaan Bezuidenhout,0.344,4.478,13
25,-9,35506,Mackenzie Hughes,0.338,6.089,18
26,17,51766,Wyndham Clark,0.329,6.918,21
27,-12,37378,Min Woo Lee,0.316,6.941,22
28,79,46717,Viktor Hovland,0.314,6.276,20
28,0,39335,Kevin Roy,0.314,5.647,18
30,16,47591,Eric Cole,0.311,5.291,17
30,13,36699,Patrick Rodgers,0.311,9.026,29
32,30,47347,Adam Schenk,0.308,5.547,18
33,1,54607,Danny Walker,0.289,4.622,16
34,1,52375,Doug Ghim,0.288,2.881,10
35,1,29936,Ryan Fox,0.283,4.521,16
36,16,51287,Ryo Hisatsune,0.278,7.498,27
37,13,57364,Michael Thorbjornsen,0.274,6.023,22
38,-1,52513,Carson Young,0.270,1.617,6
39,43,40250,Taylor Pendrith,0.267,5.879,22
40,-13,59095,Chris Gotterup,0.263,6.574,25
41,-8,36689,Brooks Koepka,0.261,3.393,13
42,39,40098,Matt Fitzpatrick,0.257,5.662,22
43,-4,29535,Brice Garnett,0.254,2.541,10
44,19,34046,Jordan Spieth,0.253,5.574,22
45,2,35450,Patrick Cantlay,0.251,4.267,17
46,-8,37338,Zecheng Dou,0.249,4.734,19
47,-6,36326,David Lipsky,0.248,1.739,7
48,35,34021,Bud Cauley,0.241,5.540,23
49,-9,46442,Maverick McNealy,0.228,5.690,25
50,1,37455,Si Woo Kim,0.222,6.441,29
51,22,49960,Sepp Straka,0.210,4.400,21
52,-4,66417,Blades Brown,0.209,0.838,4
53,17,52955,Ludvig Åberg,0.182,3.095,17
54,-37,56630,Akshay Bhatia,0.168,3.706,22
55,6,47393,Jeffrey Kang,0.162,1.299,8
56,22,52453,Nicolai Højgaard,0.157,2.991,19
57,14,59143,Mac Meissner,0.153,2.598,17
58,-13,28252,Seamus Power,0.137,2.330,17
59,6,50497,Adrien Dumont de Chassart,0.136,1.773,13
60,7,48887,Matt Wallace,0.135,0.808,6
61,4,34098,Russell Henley,0.134,2.675,20
62,-20,57123,Steven Fisk,0.130,2.074,16
62,23,52215,Robert MacIntyre,0.130,2.862,22
64,-10,36799,Stephan Jaeger,0.124,2.241,18
65,-8,48001,Zach Bauchou,0.123,2.574,21
66,5,55182,Tom Kim,0.122,2.565,21
67,-11,46340,Alex Smalley,0.117,2.697,23
68,52,27644,Brian Harman,0.113,2.598,23
69,-12,47420,Jake Knapp,0.107,2.254,21
70,4,55851,Pontus Nyholm,0.104,1.042,10
71,-3,29725,Tony Finau,0.101,2.020,20
72,20,45157,Cam Davis,0.095,1.331,14
73,-18,50188,S.H. Kim,0.086,1.468,17
74,6,57586,Jesper Svensson,0.083,0.331,4
75,1,57366,Cameron Young,0.063,1.452,23
76,26,58168,Davis Thompson,0.057,0.798,14
77,9,34466,Peter Malnati,0.048,0.382,8
78,10,50525,Collin Morikawa,0.039,0.696,18
79,-10,52666,Sami Valimaki,0.028,0.511,18
80,15,48081,Xander Schauffele,0.023,0.491,21
81,10,29420,Billy Horschel,0.019,0.390,21
82,-22,39324,J.J. Spaun,0.016,0.265,17
83,18,48867,Matti Schmid,0.013,0.316,24
84,10,35658,Kris Ventura,0.005,0.031,6
85,15,51997,Andrew Novak,0.003,0.069,20
86,-33,51950,Max McGreevy,0.002,0.045,25
87,10,54576,Patrick Fishburn,0.000,-0.002,6
88,10,34371,Adrien Saddier,-0.009,-0.120,13
89,10,40115,Adam Svensson,-0.013,-0.105,8
90,3,46414,Aaron Rai,-0.015,-0.262,18
91,29,39546,Keith Mitchell,-0.024,-0.706,29
92,-3,47993,Denny McCarthy,-0.028,-0.581,21
93,-15,55893,Sam Stevens,-0.031,-0.849,27
94,-4,47917,Takumi Kanaya,-0.033,-0.592,18
95,-38,59440,Ricky Castillo,-0.037,-0.631,17
96,26,51977,Max Greyserman,-0.070,-1.326,19
97,28,60004,Jacob Bridgeman,-0.076,-1.976,26
98,-11,48153,Matthieu Pavon,-0.078,-1.321,17
99,9,28723,John Parry,-0.082,-1.400,17
100,5,25900,Lucas Glover,-0.087,-1.042,12
101,12,24502,Adam Scott,-0.089,-1.871,21
102,58,22405,Justin Rose,-0.090,-1.440,16
103,42,54304,Karl Vilips,-0.095,-1.040,11
104,7,64442,Gordon Sargent,-0.101,-0.608,6
105,7,37076,Marcelo Rozo,-0.104,-1.044,10
106,-29,33204,Shane Lowry,-0.107,-1.712,16
106,8,49855,Kristoffer Reitan,-0.107,-1.824,17
108,30,52686,Rasmus Højgaard,-0.112,-1.676,15
109,7,66743,Luke Clanton,-0.122,-0.609,5
109,-6,36801,Mark Hubbard,-0.122,-1.952,16
111,-15,47995,Davis Riley,-0.124,-1.607,13
112,5,54783,Dylan Wu,-0.125,-1.370,11
113,6,55573,John VanDerLaan,-0.126,-1.510,12
114,10,57259,Dan Brown,-0.133,-1.857,14
115,13,34099,Harris English,-0.145,-3.336,23
115,-9,50095,Austin Smotherman,-0.145,-2.462,17
117,17,35296,Haotong Li,-0.160,-3.039,19
118,-9,39975,Michael Kim,-0.161,-3.384,21
119,-4,27064,Jhonattan Vegas,-0.164,-2.625,16
120,-36,57900,Chandler Phillips,-0.168,-2.863,17
121,-17,51894,Vince Whaley,-0.187,-2.241,12
122,13,12716,Charley Hoffman,-0.199,-1.196,6
123,26,33968,Thorbjørn Olesen,-0.201,-1.805,9
124,7,45242,Kevin Yu,-0.203,-2.434,12
125,11,51600,Jimmy Stanger,-0.207,-1.035,5
126,0,39977,Max Homa,-0.211,-4.000,19
127,0,34076,Joel Dahmen,-0.213,-3.200,15
128,11,49120,Kensei Hirata,-0.226,-3.160,14
129,11,59866,Nick Dunlap,-0.235,-1.645,7
130,6,39997,Corey Conners,-0.245,-5.391,22
131,24,30926,Chris Kirk,-0.249,-4.724,19
132,10,31646,Emiliano Grillo,-0.251,-4.524,18
133,0,46464,Jordan Smith,-0.268,-4.552,17
134,16,59018,Ryan Gerard,-0.278,-7.500,27
135,11,47983,Chad Ramey,-0.279,-5.862,21
136,5,54422,Christo Lamprecht,-0.284,-2.840,10
137,6,52689,Rasmus Neergaard-Petersen,-0.296,-3.255,11
138,-16,50286,A.J. Ewart,-0.305,-5.184,17
139,5,49766,Hank Lebioda,-0.307,-3.687,12
140,-11,54421,Garrick Higgo,-0.332,-4.981,15
141,11,48117,Kurt Kitayama,-0.351,-8.070,23
142,21,65256,David Ford,-0.357,-4.635,13
143,4,60019,Jackson Suber,-0.359,-2.875,8
144,-34,59836,Pierceson Coody,-0.367,-9.179,25
145,6,47504,Sam Burns,-0.374,-5.982,16
146,12,46443,Brian Campbell,-0.386,-6.568,17
147,7,51349,Nico Echavarria,-0.390,-8.965,23
148,-31,54628,Lee Hodges,-0.391,-5.480,14
149,-1,60386,Sudarshan Yellamaraju,-0.392,-7.845,20
150,7,32102,Rickie Fowler,-0.406,-8.938,22
151,-19,40026,Daniel Berger,-0.415,-11.618,28
152,16,60067,Joe Highsmith,-0.416,-9.152,22
153,2,63343,Aldrich Potgieter,-0.422,-6.755,16
154,7,35532,Tom Hoge,-0.425,-8.926,21
155,-26,51003,Marco Penge,-0.429,-5.572,13
156,-3,59141,Matt McCarty,-0.432,-10.797,25
157,2,57362,Austin Eckroat,-0.442,-5.302,12
158,7,49771,J.T. Poston,-0.446,-8.035,18
159,12,63454,Johnny Keefer,-0.480,-8.153,17
160,6,61522,Michael Brennan,-0.532,-8.518,16
161,6,38991,Alejandro Tosti,-0.545,-4.359,8
162,11,40006,Erik van Rooyen,-0.590,-5.901,10
163,6,49228,Keita Nakajima,-0.623,-6.849,11
164,6,37275,Sam Ryder,-0.625,-4.372,7
