RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,2,51003,Marco Penge,0.820,10.664,13
2,7,28237,Rory McIlroy,0.799,11.180,14
3,16,31323,Gary Woodland,0.742,9.650,13
4,2,57366,Cameron Young,0.699,16.078,23
5,0,51600,Jimmy Stanger,0.695,3.477,5
6,8,37378,Min Woo Lee,0.646,14.203,22
7,0,63454,Johnny Keefer,0.636,10.816,17
8,9,52215,Robert MacIntyre,0.628,13.822,22
9,-7,46046,Scottie Scheffler,0.623,13.716,22
10,0,39546,Keith Mitchell,0.582,16.884,29
11,-10,61522,Michael Brennan,0.572,9.155,16
12,-8,34076,Joel Dahmen,0.571,8.561,15
13,5,56781,Isaiah Salinda,0.563,4.507,8
14,6,37455,Si Woo Kim,0.559,16.220,29
15,11,51287,Ryo Hisatsune,0.542,14.631,27
15,8,50525,Collin Morikawa,0.542,9.749,18
17,-4,34099,Harris English,0.540,12.409,23
17,7,64442,Gordon Sargent,0.540,3.242,6
19,3,63343,Aldrich Potgieter,0.535,8.567,16
20,-12,59836,Pierceson Coody,0.523,13.069,25
21,12,55893,Sam Stevens,0.508,13.725,27
22,10,40098,Matt Fitzpatrick,0.498,10.955,22
22,3,49947,Taylor Moore,0.498,8.465,17
24,-14,59095,Chris Gotterup,0.496,12.405,25
25,3,63807,Neal Shipley,0.478,4.778,10
26,-5,48117,Kurt Kitayama,0.471,10.840,23
27,-12,35296,Haotong Li,0.470,8.937,19
28,45,50095,Austin Smotherman,0.464,7.895,17
29,23,52955,Ludvig Åberg,0.460,7.828,17
30,14,35450,Patrick Cantlay,0.453,7.703,17
31,16,40250,Taylor Pendrith,0.448,9.859,22
32,8,46464,Jordan Smith,0.436,7.404,17
33,2,48081,Xander Schauffele,0.429,8.999,21
34,-4,46442,Maverick McNealy,0.421,10.536,25
35,4,60386,Sudarshan Yellamaraju,0.419,8.383,20
36,-2,12716,Charley Hoffman,0.415,2.491,6
37,0,49855,Kristoffer Reitan,0.402,6.828,17
38,0,52513,Carson Young,0.378,2.268,6
39,7,51950,Max McGreevy,0.375,9.370,25
40,28,30911,Tommy Fleetwood,0.363,5.809,16
41,-14,47420,Jake Knapp,0.345,7.251,21
42,-1,49120,Kensei Hirata,0.340,4.754,14
43,-1,52375,Doug Ghim,0.338,3.377,10
43,-1,35658,Kris Ventura,0.338,2.026,6
45,2,32102,Rickie Fowler,0.337,7.419,22
46,5,59018,Ryan Gerard,0.303,8.186,27
47,2,29936,Ryan Fox,0.294,4.700,16
48,2,34587,Chan Kim,0.292,1.460,5
49,4,52689,Rasmus Neergaard-Petersen,0.283,3.110,11
50,11,39997,Corey Conners,0.280,6.170,22
51,-22,47917,Takumi Kanaya,0.273,4.914,18
52,-36,24502,Adam Scott,0.272,5.714,21
53,-22,65256,David Ford,0.264,3.437,13
54,4,36689,Brooks Koepka,0.255,3.319,13
55,-10,52686,Rasmus Højgaard,0.254,3.816,15
55,6,50188,S.H. Kim,0.254,4.319,17
57,14,47504,Sam Burns,0.252,4.027,16
58,-46,52453,Nicolai Højgaard,0.231,4.393,19
59,-23,59440,Ricky Castillo,0.227,3.855,17
60,14,51696,Rico Hoey,0.218,5.241,24
61,11,46340,Alex Smalley,0.217,4.981,23
62,1,49960,Sepp Straka,0.215,4.507,21
63,34,40006,Erik van Rooyen,0.211,2.108,10
64,31,63121,William Mouw,0.205,3.287,16
65,22,54628,Lee Hodges,0.197,2.763,14
66,18,60004,Jacob Bridgeman,0.190,4.932,26
67,2,39324,J.J. Spaun,0.176,2.992,17
68,-9,33204,Shane Lowry,0.174,2.780,16
69,-3,57586,Jesper Svensson,0.172,0.688,4
70,-15,58168,Davis Thompson,0.168,2.357,14
71,-2,50497,Adrien Dumont de Chassart,0.164,2.136,13
72,14,49771,J.T. Poston,0.156,2.804,18
73,3,66743,Luke Clanton,0.147,0.735,5
74,7,34098,Russell Henley,0.143,2.856,20
75,2,49766,Hank Lebioda,0.135,1.622,12
76,-9,40026,Daniel Berger,0.125,3.487,28
76,-11,39977,Max Homa,0.125,2.380,19
78,15,57364,Michael Thorbjornsen,0.109,2.387,22
79,-1,34371,Adrien Saddier,0.106,1.374,13
80,0,57259,Dan Brown,0.103,1.445,14
81,0,28723,John Parry,0.088,1.492,17
82,-28,39335,Kevin Roy,0.086,1.553,18
83,-23,33968,Thorbjørn Olesen,0.078,0.705,9
84,-28,33141,Keegan Bradley,0.066,1.119,17
84,-5,50286,A.J. Ewart,0.066,1.127,17
86,-3,54421,Garrick Higgo,0.062,0.925,15
87,3,28089,Jason Day,0.049,0.837,17
88,-3,59143,Mac Meissner,0.037,0.627,17
89,0,35461,Beau Hossler,0.009,0.072,8
90,-2,59141,Matt McCarty,0.001,0.033,25
91,3,45242,Kevin Yu,0.000,0.002,12
92,17,46414,Aaron Rai,-0.016,-0.290,18
93,15,36699,Patrick Rodgers,-0.023,-0.663,29
94,-3,48887,Matt Wallace,-0.026,-0.158,6
95,-20,51349,Nico Echavarria,-0.027,-0.631,23
96,-4,48867,Matti Schmid,-0.037,-0.898,24
97,31,56630,Akshay Bhatia,-0.044,-0.978,22
98,1,34021,Bud Cauley,-0.055,-1.268,23
99,-1,54422,Christo Lamprecht,-0.061,-0.608,10
100,5,30926,Chris Kirk,-0.069,-1.304,19
101,0,55182,Tom Kim,-0.084,-1.757,21
102,0,48153,Matthieu Pavon,-0.092,-1.564,17
103,0,59006,Davis Chatfield,-0.093,-0.833,9
104,24,27064,Jhonattan Vegas,-0.103,-1.649,16
105,13,47983,Chad Ramey,-0.107,-2.256,21
106,0,54788,Chandler Blanchet,-0.112,-0.898,8
107,3,40115,Adam Svensson,-0.143,-1.146,8
108,4,54783,Dylan Wu,-0.153,-1.686,11
109,12,25493,Nick Taylor,-0.158,-4.095,26
110,-11,51766,Wyndham Clark,-0.162,-3.403,21
111,2,36799,Stephan Jaeger,-0.181,-3.252,18
112,3,57362,Austin Eckroat,-0.187,-2.247,12
113,7,55573,John VanDerLaan,-0.224,-2.685,12
