RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,60004,Jacob Bridgeman,1.409,36.623,26
2,2,47420,Jake Knapp,1.291,27.115,21
3,0,35658,Kris Ventura,1.181,7.086,6
4,3,37275,Sam Ryder,0.992,6.946,7
5,3,51894,Vince Whaley,0.990,11.876,12
6,7,52215,Robert MacIntyre,0.886,19.485,22
7,-1,48153,Matthieu Pavon,0.818,13.913,17
8,3,54304,Karl Vilips,0.768,8.448,11
9,6,32102,Rickie Fowler,0.760,16.720,22
10,2,56630,Akshay Bhatia,0.730,16.053,22
11,8,47983,Chad Ramey,0.708,14.862,21
12,8,36326,David Lipsky,0.687,4.808,7
13,9,54576,Patrick Fishburn,0.666,3.997,6
13,-8,47995,Davis Riley,0.666,8.652,13
15,9,34098,Russell Henley,0.662,13.239,20
16,9,35461,Beau Hossler,0.631,5.044,8
17,53,47504,Sam Burns,0.609,9.747,16
18,8,34466,Peter Malnati,0.606,4.847,8
19,8,27214,Kevin Streelman,0.585,3.513,6
20,-4,57900,Chandler Phillips,0.568,9.653,17
21,24,60386,Sudarshan Yellamaraju,0.563,11.253,20
22,12,34099,Harris English,0.562,12.924,23
23,13,54628,Lee Hodges,0.551,7.718,14
24,-3,45522,Christiaan Bezuidenhout,0.550,7.155,13
24,4,57975,Harry Hall,0.550,11.009,20
26,25,52453,Nicolai Højgaard,0.549,10.422,19
27,2,46046,Scottie Scheffler,0.547,12.029,22
28,2,59141,Matt McCarty,0.545,13.617,25
29,-12,34046,Jordan Spieth,0.543,11.957,22
30,-20,39335,Kevin Roy,0.510,9.177,18
31,1,66417,Blades Brown,0.502,2.007,4
32,-14,52686,Rasmus Højgaard,0.488,7.322,15
33,-24,28252,Seamus Power,0.484,8.220,17
34,-1,51634,Sahith Theegala,0.463,13.439,29
35,-12,47917,Takumi Kanaya,0.442,7.953,18
36,2,50188,S.H. Kim,0.434,7.374,17
37,7,40006,Erik van Rooyen,0.429,4.291,10
38,2,51600,Jimmy Stanger,0.404,2.019,5
39,0,37378,Min Woo Lee,0.403,8.859,22
40,3,29936,Ryan Fox,0.375,5.996,16
41,15,27349,Alex Noren,0.371,6.671,18
42,3,51977,Max Greyserman,0.370,7.024,19
43,-8,33204,Shane Lowry,0.367,5.872,16
44,3,57259,Dan Brown,0.349,4.885,14
45,42,47591,Eric Cole,0.342,5.816,17
46,17,54591,Ben Griffin,0.320,7.044,22
47,11,36699,Patrick Rodgers,0.316,9.167,29
48,28,57366,Cameron Young,0.313,7.205,23
49,8,32839,Hideki Matsuyama,0.311,8.387,27
50,3,59567,Emilio Gonzalez,0.308,2.770,9
51,29,36799,Stephan Jaeger,0.293,5.279,18
51,3,27770,Camilo Villegas,0.293,1.173,4
53,13,48081,Xander Schauffele,0.285,5.989,21
54,-12,49947,Taylor Moore,0.279,4.735,17
55,5,29535,Brice Garnett,0.250,2.497,10
